year,model_year,new_capex_usd_b,oil_equity_draw_usd_b,project_loan_draw_usd_b,ppp_jv_equity_usd_b,operating_revenue_usd_b,operating_cash_after_maintenance_usd_b,debt_service_usd_b,gross_profit_levy_usd_b,retained_earnings_usd_b,dividend_pool_usd_b,holding_dscr_before_levy,citizen_dividend_usd_per_person_year,citizen_dividend_usd_per_person_month
2027,1,6.5,5.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2028,2,9.5,5.5,2.8,1.2,0.6,0.05,0.05,0.0,0.0,0.0,1.00,0.0,0.0
2029,3,12.0,6.2,4.2,1.6,1.4,0.2,0.15,0.05,0.0,0.0,1.33,0.0,0.0
2030,4,13.5,6.7,4.8,2.0,3.0,0.6,0.35,0.1,0.1,0.0,1.71,0.0,0.0
2031,5,12.0,6.8,3.8,1.4,5.0,1.2,0.65,0.2,0.3,0.0,1.85,0.0,0.0
2032,6,12.0,6.8,3.8,1.4,7.5,2.0,1.0,0.45,0.45,0.1,2.00,2.17,0.18
2033,7,12.5,7.0,3.8,1.7,10.5,3.0,1.35,0.75,0.65,0.25,2.22,5.42,0.45
2034,8,12.5,7.2,3.5,1.8,14.0,4.3,1.65,1.1,0.95,0.6,2.61,13.02,1.08
2035,9,12.5,7.4,3.2,1.9,18.0,5.8,1.85,1.55,1.35,1.05,3.14,22.78,1.90
2036,10,12.0,7.2,2.9,1.9,23.0,7.6,2.05,2.15,1.75,1.65,3.71,35.79,2.98
