year,baseline_non_oil_real_growth_pct,industrial_import_substitution_add_pct,infrastructure_open_rail_logistics_add_pct,green_power_grid_add_pct,food_water_irrigation_add_pct,tourism_services_add_pct,digital_iqd_formalization_credit_add_pct,civic_workforce_public_value_add_pct,constrained_base_incremental_growth_pct,constrained_base_non_oil_growth_pct,baseline_non_oil_gdp_index_2026_100,constrained_base_non_oil_gdp_index_2026_100,constrained_base_additional_real_non_oil_gdp_usd_b_2026_prices,strategic_upper_incremental_growth_pct,strategic_upper_non_oil_growth_pct,strategic_upper_non_oil_gdp_index_2026_100,strategic_upper_additional_real_non_oil_gdp_usd_b_2026_prices,phase
2027,2.50,0.05,0.04,0.03,0.02,0.02,0.03,0.01,0.20,2.70,102.50,102.70,0.4,0.40,2.90,102.90,0.7,foundation
2028,2.50,0.10,0.08,0.06,0.05,0.04,0.05,0.02,0.40,2.90,105.06,105.68,1.1,0.80,3.30,106.30,2.2,foundation
2029,3.00,0.20,0.13,0.10,0.08,0.08,0.08,0.03,0.70,3.70,108.21,109.59,2.5,1.30,4.29,110.86,4.8,build
2030,3.00,0.30,0.20,0.15,0.13,0.12,0.11,0.05,1.06,4.06,111.46,114.04,4.7,1.85,4.86,116.24,8.7,build
2031,3.50,0.40,0.28,0.22,0.18,0.16,0.15,0.07,1.46,4.96,115.36,119.69,7.9,2.48,5.98,123.20,14.2,build
2032,3.50,0.48,0.35,0.30,0.23,0.20,0.18,0.09,1.83,5.33,119.40,126.07,12.1,3.02,6.52,131.23,21.4,scale
2033,3.50,0.52,0.42,0.36,0.27,0.23,0.20,0.10,2.10,5.60,123.58,133.13,17.3,3.46,6.96,140.37,30.4,scale
2034,3.50,0.55,0.48,0.40,0.30,0.25,0.22,0.12,2.32,5.82,127.90,140.88,23.5,3.83,7.33,150.66,41.2,scale
2035,3.50,0.58,0.52,0.43,0.33,0.28,0.24,0.14,2.52,6.02,132.38,149.36,30.8,4.16,7.66,162.19,54.0,compound
2036,3.50,0.60,0.55,0.45,0.35,0.30,0.25,0.15,2.65,6.15,137.01,158.55,39.0,4.37,7.87,174.96,68.8,compound
